Enter number of bits: 
12-bit Two's Complement Range:
--------------------------------------------------
 Decimal |    Binary    | Hexadecimal
--------------------------------------------------
   -2048 | 100000000000 | 0x800
   -2047 | 100000000001 | 0x801
   -2046 | 100000000010 | 0x802
   -2045 | 100000000011 | 0x803
   -2044 | 100000000100 | 0x804
   -2043 | 100000000101 | 0x805
   -2042 | 100000000110 | 0x806
   -2041 | 100000000111 | 0x807
   -2040 | 100000001000 | 0x808
   -2039 | 100000001001 | 0x809
   -2038 | 100000001010 | 0x80a
   -2037 | 100000001011 | 0x80b
   -2036 | 100000001100 | 0x80c
   -2035 | 100000001101 | 0x80d
   -2034 | 100000001110 | 0x80e
   -2033 | 100000001111 | 0x80f
   -2032 | 100000010000 | 0x810
   -2031 | 100000010001 | 0x811
   -2030 | 100000010010 | 0x812
   -2029 | 100000010011 | 0x813
   -2028 | 100000010100 | 0x814
   -2027 | 100000010101 | 0x815
   -2026 | 100000010110 | 0x816
   -2025 | 100000010111 | 0x817
   -2024 | 100000011000 | 0x818
   -2023 | 100000011001 | 0x819
   -2022 | 100000011010 | 0x81a
   -2021 | 100000011011 | 0x81b
   -2020 | 100000011100 | 0x81c
   -2019 | 100000011101 | 0x81d
   -2018 | 100000011110 | 0x81e
   -2017 | 100000011111 | 0x81f
   -2016 | 100000100000 | 0x820
   -2015 | 100000100001 | 0x821
   -2014 | 100000100010 | 0x822
   -2013 | 100000100011 | 0x823
   -2012 | 100000100100 | 0x824
   -2011 | 100000100101 | 0x825
   -2010 | 100000100110 | 0x826
   -2009 | 100000100111 | 0x827
   -2008 | 100000101000 | 0x828
   -2007 | 100000101001 | 0x829
   -2006 | 100000101010 | 0x82a
   -2005 | 100000101011 | 0x82b
   -2004 | 100000101100 | 0x82c
   -2003 | 100000101101 | 0x82d
   -2002 | 100000101110 | 0x82e
   -2001 | 100000101111 | 0x82f
   -2000 | 100000110000 | 0x830
   -1999 | 100000110001 | 0x831
   -1998 | 100000110010 | 0x832
   -1997 | 100000110011 | 0x833
   -1996 | 100000110100 | 0x834
   -1995 | 100000110101 | 0x835
   -1994 | 100000110110 | 0x836
   -1993 | 100000110111 | 0x837
   -1992 | 100000111000 | 0x838
   -1991 | 100000111001 | 0x839
   -1990 | 100000111010 | 0x83a
   -1989 | 100000111011 | 0x83b
   -1988 | 100000111100 | 0x83c
   -1987 | 100000111101 | 0x83d
   -1986 | 100000111110 | 0x83e
   -1985 | 100000111111 | 0x83f
   -1984 | 100001000000 | 0x840
   -1983 | 100001000001 | 0x841
   -1982 | 100001000010 | 0x842
   -1981 | 100001000011 | 0x843
   -1980 | 100001000100 | 0x844
   -1979 | 100001000101 | 0x845
   -1978 | 100001000110 | 0x846
   -1977 | 100001000111 | 0x847
   -1976 | 100001001000 | 0x848
   -1975 | 100001001001 | 0x849
   -1974 | 100001001010 | 0x84a
   -1973 | 100001001011 | 0x84b
   -1972 | 100001001100 | 0x84c
   -1971 | 100001001101 | 0x84d
   -1970 | 100001001110 | 0x84e
   -1969 | 100001001111 | 0x84f
   -1968 | 100001010000 | 0x850
   -1967 | 100001010001 | 0x851
   -1966 | 100001010010 | 0x852
   -1965 | 100001010011 | 0x853
   -1964 | 100001010100 | 0x854
   -1963 | 100001010101 | 0x855
   -1962 | 100001010110 | 0x856
   -1961 | 100001010111 | 0x857
   -1960 | 100001011000 | 0x858
   -1959 | 100001011001 | 0x859
   -1958 | 100001011010 | 0x85a
   -1957 | 100001011011 | 0x85b
   -1956 | 100001011100 | 0x85c
   -1955 | 100001011101 | 0x85d
   -1954 | 100001011110 | 0x85e
   -1953 | 100001011111 | 0x85f
   -1952 | 100001100000 | 0x860
   -1951 | 100001100001 | 0x861
   -1950 | 100001100010 | 0x862
   -1949 | 100001100011 | 0x863
   -1948 | 100001100100 | 0x864
   -1947 | 100001100101 | 0x865
   -1946 | 100001100110 | 0x866
   -1945 | 100001100111 | 0x867
   -1944 | 100001101000 | 0x868
   -1943 | 100001101001 | 0x869
   -1942 | 100001101010 | 0x86a
   -1941 | 100001101011 | 0x86b
   -1940 | 100001101100 | 0x86c
   -1939 | 100001101101 | 0x86d
   -1938 | 100001101110 | 0x86e
   -1937 | 100001101111 | 0x86f
   -1936 | 100001110000 | 0x870
   -1935 | 100001110001 | 0x871
   -1934 | 100001110010 | 0x872
   -1933 | 100001110011 | 0x873
   -1932 | 100001110100 | 0x874
   -1931 | 100001110101 | 0x875
   -1930 | 100001110110 | 0x876
   -1929 | 100001110111 | 0x877
   -1928 | 100001111000 | 0x878
   -1927 | 100001111001 | 0x879
   -1926 | 100001111010 | 0x87a
   -1925 | 100001111011 | 0x87b
   -1924 | 100001111100 | 0x87c
   -1923 | 100001111101 | 0x87d
   -1922 | 100001111110 | 0x87e
   -1921 | 100001111111 | 0x87f
   -1920 | 100010000000 | 0x880
   -1919 | 100010000001 | 0x881
   -1918 | 100010000010 | 0x882
   -1917 | 100010000011 | 0x883
   -1916 | 100010000100 | 0x884
   -1915 | 100010000101 | 0x885
   -1914 | 100010000110 | 0x886
   -1913 | 100010000111 | 0x887
   -1912 | 100010001000 | 0x888
   -1911 | 100010001001 | 0x889
   -1910 | 100010001010 | 0x88a
   -1909 | 100010001011 | 0x88b
   -1908 | 100010001100 | 0x88c
   -1907 | 100010001101 | 0x88d
   -1906 | 100010001110 | 0x88e
   -1905 | 100010001111 | 0x88f
   -1904 | 100010010000 | 0x890
   -1903 | 100010010001 | 0x891
   -1902 | 100010010010 | 0x892
   -1901 | 100010010011 | 0x893
   -1900 | 100010010100 | 0x894
   -1899 | 100010010101 | 0x895
   -1898 | 100010010110 | 0x896
   -1897 | 100010010111 | 0x897
   -1896 | 100010011000 | 0x898
   -1895 | 100010011001 | 0x899
   -1894 | 100010011010 | 0x89a
   -1893 | 100010011011 | 0x89b
   -1892 | 100010011100 | 0x89c
   -1891 | 100010011101 | 0x89d
   -1890 | 100010011110 | 0x89e
   -1889 | 100010011111 | 0x89f
   -1888 | 100010100000 | 0x8a0
